Date,NMDS1,NMDS2
6/30/2009,0.570772101,-0.196722281
7/8/2009,0.540286317,-0.082459097
7/12/2009,0.516509213,-0.02591058
7/23/2009,0.491055872,-0.134083027
7/28/2009,0.380120539,-0.084271699
8/14/2009,0.32535973,0.082610029
8/27/2009,0.359499307,-0.070830379
9/10/2009,0.438900701,0.049587581
9/22/2009,0.377765452,-0.278544408
9/29/2009,0.290521904,-0.305825522
10/5/2009,0.319663612,0.286072103
10/19/2009,0.335492277,0.464280701
11/4/2009,-0.00157072,-0.410654269
11/10/2009,0.037544075,0.265548884
12/1/2009,-0.038891121,-0.337519246
12/23/2009,-0.47441115,0.19841177
2/9/2010,-0.810337893,0.100999112
2/22/2010,-0.709980302,0.036198832
3/19/2010,-0.33823372,0.056688063
4/11/2010,-0.520387494,-0.26935356
5/5/2010,-0.217578269,-0.240521669
5/15/2010,-0.096776526,-0.085180918
5/30/2010,-0.081959363,-0.163021668
6/4/2010,-0.232316142,-0.201018977
6/18/2010,0.099987938,-0.413572556
6/26/2010,0.315852704,-0.186028594
6/28/2010,0.101307659,0.089862351
7/8/2010,0.496473583,-0.189108833
7/15/2010,0.15630896,-0.197747783
7/20/2010,0.140238579,-0.120721975
7/29/2010,0.250881417,-0.023995777
8/7/2010,0.304292681,-0.123554539
8/10/2010,0.356222709,-0.224322946
8/18/2010,0.404518456,-0.232400307
9/3/2010,0.360793651,-0.210891406
9/9/2010,0.284527246,-0.148695365
9/20/2010,0.281768999,-0.177082807
9/28/2010,0.337094783,0.360760419
10/6/2010,0.16627846,-0.314072705
10/19/2010,0.290978778,-0.263422466
11/4/2010,-0.015956214,0.53144446
11/24/2010,0.016685375,-0.357933868
1/10/2011,-0.516264666,0.166381457
1/25/2011,-0.336250225,0.254205789
2/10/2011,-0.316860873,0.077770235
2/26/2011,-0.40201401,0.408659549
3/23/2011,0.29564397,0.366446837
4/8/2011,0.07808075,0.098677738
4/17/2011,0.310369538,0.312575558
5/9/2011,0.143152563,0.118514398
5/18/2011,0.20485317,0.26739838
6/8/2011,0.435869384,0.147763378
6/22/2011,0.39624095,0.121646971
6/27/2011,0.47493438,0.213292792
7/6/2011,0.288099551,-0.032798269
7/22/2011,0.437975049,0.002632643
8/4/2011,0.399302187,0.042200368
8/17/2011,0.45497066,-0.035186323
9/1/2011,0.469495603,0.001471361
9/13/2011,0.593556926,0.147313437
9/20/2011,0.583314168,0.139572771
9/26/2011,0.434961453,0.175793337
9/29/2011,0.353123827,0.050370265
10/15/2011,-0.293879283,0.169948425
10/26/2011,-0.013899521,0.08583409
11/29/2011,-0.527516457,0.139805232
12/10/2011,-0.244078674,0.047193893
1/8/2012,-0.259944365,0.175562507
2/24/2012,-0.11378393,0.001221419
3/7/2012,0.054101095,-0.069572723
3/25/2012,0.137590869,0.168199144
4/7/2012,-0.155772232,0.240984907
4/14/2012,-0.385551082,0.404127486
5/4/2012,0.202003035,0.279031972
5/19/2012,0.504907871,-0.242402134
5/29/2012,0.559932829,0.186645356
6/10/2012,0.612539757,-0.061584685
6/25/2012,0.552752552,-0.086330441
6/28/2012,0.371045855,-0.011623961
7/7/2012,0.444865879,-0.06091679
7/20/2012,0.5114852,-0.081705594
8/7/2012,0.362107753,-0.01469369
8/21/2012,0.530026328,-0.135657298
9/6/2012,0.265095524,-0.015074695
9/16/2012,0.207366795,-0.009792796
9/29/2012,0.431544396,0.119950075
10/7/2012,0.246695426,0.434599242
10/25/2012,0.303658774,0.345543971
11/13/2012,-0.572142336,0.104924121
11/26/2012,-0.557552146,0.145526821
12/30/2012,-0.685994037,0.309588532
1/14/2013,-0.571537898,0.219827332
2/14/2013,-0.15170997,0.153876854
3/1/2013,-0.10441539,0.225058149
3/3/2013,-0.159321928,0.296343838
3/10/2013,-0.039004125,0.195575985
3/18/2013,-0.062650358,0.094214162
4/1/2013,0.21164669,0.156990506
4/16/2013,0.208433055,0.105679969
4/27/2013,0.231795267,0.201233003
5/8/2013,0.346468521,-0.029598223
5/30/2013,0.556022711,0.049015888
6/7/2013,0.594111042,-0.029719983
6/19/2013,0.556706331,0.00962749
6/27/2013,0.392132612,0.002144375
7/9/2013,0.352956912,-0.01396551
7/23/2013,0.37291735,-0.059132789
7/29/2013,0.619060261,-0.037893505
8/9/2013,0.522870354,-0.117104774
8/25/2013,0.582557662,-0.023323496
9/11/2013,0.410812033,-0.004673655
9/26/2013,0.248801606,0.226199649
10/4/2013,-0.166958596,0.012686683
10/22/2013,-0.124302464,0.065478266
11/9/2013,0.161558569,0.176867788
11/22/2013,-0.201958609,0.034340085
12/9/2013,-0.466102322,0.072273929
1/16/2014,0.057819394,0.327103185
2/4/2014,0.02645396,0.312341716
2/23/2014,-0.157976394,0.426822263
4/1/2014,0.123481829,0.339438757
4/8/2014,0.404044066,0.242294421
4/25/2014,0.039684711,0.333811151
5/6/2014,0.2274048,0.281295456
5/19/2014,0.026845713,0.034792831
6/11/2014,0.479182436,-0.094259928
6/27/2014,0.363346541,-0.108806313
7/6/2014,0.361262546,-0.187669938
7/22/2014,0.353995362,-0.007660231
8/6/2014,0.301769257,-0.024067201
8/20/2014,0.437049774,-0.081862092
9/7/2014,0.406659104,-0.112118466
9/25/2014,0.026350453,0.038085264
9/30/2014,-0.4766857,-0.033121815
10/8/2014,-0.308902489,-0.278025757
10/27/2014,-0.738074869,-0.170811572
11/7/2014,-0.953513207,-0.352444271
11/8/2014,-0.780520145,-0.261210463
1/1/2015,-0.72512239,-0.077082487
1/6/2015,-0.759485382,0.161357086
1/21/2015,-0.665049006,-0.035135214
1/31/2015,-0.741724137,0.007221269
2/4/2015,-0.644699138,-0.115924833
2/18/2015,-0.733863764,-0.05068437
3/4/2015,-0.564779081,-0.130027495
3/26/2015,-0.748291522,-0.026551579
4/7/2015,-0.917427908,-0.107250968
4/27/2015,-0.409661362,-0.464768222
5/7/2015,-0.314905644,-0.216696328
5/13/2015,-0.104783028,-0.240506208
5/19/2015,-0.176800461,-0.210617725
6/10/2015,-0.135196829,-0.147930071
6/16/2015,0.046578612,-0.267106405
6/28/2015,-0.111104266,-0.088235002
7/3/2015,-0.04499706,-0.143772354
7/15/2015,-0.016352892,-0.269374013
7/26/2015,-0.141754113,-0.196834635
8/8/2015,-0.03073467,-0.323619445
8/10/2015,-0.120769837,0.004861953
8/26/2015,-0.141019258,-0.132031836
9/3/2015,-0.448777873,-0.237163182
9/16/2015,-0.398050501,-0.212368445
9/23/2015,-0.378291735,-0.238247275
9/29/2015,-0.385775743,-0.288312887
10/7/2015,-0.385747724,-0.428995214
10/13/2015,-0.708067062,-0.382055854
11/3/2015,-0.840478925,-0.358281879
1/8/2016,-0.940227841,0.038095513
1/23/2016,-0.944789641,0.078287282
2/17/2016,-0.990059421,0.063592472
3/11/2016,-0.966525812,0.053227781
3/22/2016,-0.938354281,0.05439997
3/26/2016,-0.905746338,-0.018534974
4/18/2016,-0.864815127,-0.221416841
4/26/2016,-0.920132959,-0.147856082
4/28/2016,-0.85481647,-0.182408073
5/12/2016,-0.816620444,-0.154550215
5/24/2016,-0.624458767,-0.317174227
6/12/2016,-0.343552543,-0.218653919
6/23/2016,-0.343882571,-0.265011458
6/29/2016,-0.234415338,-0.118354537
7/7/2016,-0.254772208,-0.169790416
8/1/2016,-0.194572129,-0.243259458
8/21/2016,-0.038805576,-0.166087339
9/6/2016,-0.133351592,-0.362759322
9/20/2016,-0.250156592,-0.351170439
10/11/2016,-0.323753836,-0.31642617
11/18/2016,-0.86152427,0.021048859
12/6/2016,-0.833197953,0.071425987
1/12/2017,-0.885643494,0.178323973
2/1/2017,-0.943307613,-0.018473676
2/17/2017,-0.812889713,-0.000828985
2/25/2017,-0.991130563,0.01608737
3/20/2017,-0.886317897,-0.139115842
4/11/2017,-0.864958331,-0.143823097
4/27/2017,-0.847465235,-0.039402856
5/21/2017,-0.717799441,-0.129805027
6/12/2017,-0.391429473,-0.163032187
7/6/2017,-0.078353585,-0.44751801
7/12/2017,0.153812502,-0.137201543
7/27/2017,0.090272231,-0.165023164
8/8/2017,0.205954512,-0.125902211
9/6/2017,0.250412614,-0.327457956
9/22/2017,0.080248254,-0.400400544
10/4/2017,0.042533359,-0.390579424
10/26/2017,-0.071911684,-0.065872482
11/6/2017,-0.180263139,-0.3332857
12/4/2017,-0.476926098,-0.079000968
12/18/2017,-0.449690846,0.124046243
2/6/2018,-0.674065454,0.07303791
2/27/2018,-0.332363637,-0.069453094
3/5/2018,-0.445603626,0.057099485
3/18/2018,-0.132936627,-0.19253569
4/9/2018,-0.122105499,-0.244175314
4/23/2018,-0.216561267,-0.333802443
5/7/2018,-0.08345994,0.002265097
5/21/2018,-0.087948041,-0.066871773
5/29/2018,0.094367766,-0.133587982
6/6/2018,0.100444322,-0.382229391
6/27/2018,0.195765671,-0.063959431
7/10/2018,0.121126012,-0.172627991
7/17/2018,0.241058469,-0.071077833
8/21/2018,0.322163743,-0.04394958
9/20/2018,0.117919563,-0.342455943
9/27/2018,0.577087124,0.07005711
10/11/2018,0.367296351,-0.40895241
10/15/2018,0.373629157,-0.164532421
11/8/2018,0.249779982,-0.550972726
12/6/2018,-0.266748671,0.322867232
1/13/2019,-0.67043301,0.110641018
2/18/2019,-0.754058752,0.100036446
3/4/2019,-0.252101782,-0.13051163
3/31/2019,-0.385947623,-0.189522442
4/18/2019,-0.249118143,-0.226884916
4/29/2019,-0.263759123,0.038320726
5/7/2019,-0.08143959,-0.106811074
5/24/2019,-0.019111276,-0.110785556
6/5/2019,0.166894246,-0.427493879
6/17/2019,0.387505972,-0.105294764
6/27/2019,0.324013521,-0.109391087
7/10/2019,0.636959566,-0.099743848
7/23/2019,0.137815288,-0.035405885
8/25/2019,0.307608546,-0.151035388
9/11/2019,0.077482105,-0.043286389
9/20/2019,-0.38802893,-0.323700119
9/26/2019,-0.338907734,0.074422954
